Reporting Parent Railroad Code,Employee Man Hours
AA,1550555.0
AB,193907.0
ABR,0.0
ABS,1081726.0
ABWR,384458.0
ACEX,1831629.0
ACJR,59287.0
ACWR,784428.0
ADBF,411666.0
ADCX,271178.0
AERC,347641.0
AF,90.0
AGCR,40575.0
AGR,2024336.0
AIKR,33635.0
AIRR,61092.0
AKDN,223577.0
AKMD,1324873.0
ALAB,33445.0
ALE,56983.0
ALLN,7326.0
ALM,448676.0
ALRR,24.0
AM,1453892.0
AN,17366.0
ANR,202268.0
AO,797510.0
AOK,828290.0
AOR,18500.0
APA,425126.0
APNC,30892.0
APPX,47763.0
APRR,91883.0
AR,372702.0
ARA,142893.0
ARC,163893.0
ARDJ,956287.0
ARR,13798834.0
ARRM,40.0
ARS,141215.0
ARSN,131409.0
ARZC,615278.0
ASRY,857820.0
ATCX,146345.0
ATK,410476372.0
ATLR,1167.0
ATLT,162137.0
ATN,685198.0
ATP,638.0
ATR,340154.0
ATW,74402.0
AUT,244415.0
AVR,919805.0
AVSX,21771.0
AWRR,1088363.0
AWRY,30839.0
AZCR,1160306.0
AZER,1047226.0
BAP,36506.0
BAWT,167938.0
BAYL,1547071.0
BB,1848231.0
BBAY,227164.0
BCLR,65440.0
BCR,111687.0
BCRY,0.0
BDR,175773.0
BDTL,10576.0
BDW,619578.0
BEEM,22480.0
BERR,176634.0
BFRR,0.0
BFT,24946.0
BGEX,0.0
BGKX,0.0
BHC,406717.0
BHR,37728.0
BHRR,2155633.0
BHX,147475.0
BIP,23156.0
BJRR,66266.0
BJRY,1023861.0
BKRR,94084.0
BLF,2438548.0
BLOL,208626.0
BLR,96125.0
BLRR,0.0
BLRX,90936.0
BLU,531977.0
BNG,126922.0
BNSF,921473132.0
BOMX,77599.0
BOP,2784.0
BPRR,4431861.0
BRAN,0.0
BRC,9434033.0
BRG,889973.0
BRMI,1732.0
BRS,518255.0
BRW,61583.0
BS,294986.0
BSFX,46775.0
BSOR,184231.0
BSR,90338.0
BSRX,467066.0
BSVY,259545.0
BVRR,339341.0
BVRY,369387.0
BXN,114626.0
BYCX,0.0
BYSR,0.0
CA,103641.0
CAGY,880707.0
CALA,4074.0
CAMD,31253.0
CAMY,44691.0
CANX,55395.0
CASS,405831.0
CBCX,36114.0
CBR,246991.0
CBRW,527470.0
CBRY,983142.0
CCCX,42304.0
CCET,44159.0
CCHA,444938.0
CCKY,83304.0
CCPN,360049.0
CCRA,7912.0
CCRL,64314.0
CCRR,24899.0
CCT,563652.0
CCUO,9.0
CDOT,2163625.0
CEIW,72094.0
CER,742.0
CERA,39891.0
CERR,193875.0
CFE,1460246.0
CFNR,835524.0
CFRC,59619.0
CFWR,95215.0
CGBX,1628.0
CGIF,194617.0
CGIV,69673.0
CHAT,0.0
CHB,1643.0
CHCX,13339.0
CHR,76286.0
CHS,53578.0
CIC,1691238.0
CIND,372124.0
CIRR,278248.0
CIRY,0.0
CJR,58813.0
CKIN,160271.0
CKSI,0.0
CLC,511288.0
CLNA,636827.0
CLP,364223.0
CM,135918.0
CMC,0.0
CMLR,23133.0
CMPA,132530.0
CMQX,1248139.0
CMR,177843.0
CMRR,11565.0
CMSX,17222.0
CMTY,200300.0
CN,159353895.0
CNRR,6073.0
CNRX,28254.0
CNUR,32156.0
CNYX,3059628.0
COEH,40834.0
COER,58966.0
COGN,33835.0
CONW,671350.0
COP,69690.0
CORP,1401997.0
CORY,7269.0
CPC,11700.0
CPKC,153877820.0
CPMY,0.0
CPR,70247.0
CR01,1668968.0
CRE,73.0
CRL,1152959.0
CRRX,1727517.0
CRSH,22544307.0
CSCD,100958.0
CSDT,1532.0
CSMX,16789.0
CSO,400123.0
CSPX,10144.0
CSRJ,640.0
CSRM,125239.0
CSS,1481502.0
CSX,532080962.0
CT,88513.0
CTHS,197848.0
CTM,168414.0
CTN,295641.0
CTR,4410.0
CTRR,295239.0
CTSR,172965.0
CTXR,26916.0
CUOH,1743854.0
CVLY,18756.0
CVR,532406.0
CVSX,352203.0
CW,1522698.0
CWA,251830.0
CWCY,59765.0
CWR,306329.0
CWRO,2003958.0
CWRY,208342.0
CWW,110430.0
CXR,12602.0
CZRY,6334.0
DAIR,217302.0
DART,4826319.0
DC,1151927.0
DCLR,19555.0
DCON,90150.0
DCR,398381.0
DCRR,9567.0
DCTA,61808.0
DD,23238.0
DESR,21260.0
DGNO,1585903.0
DIR,1892.0
DL,591809.0
DLSR,16997.0
DLWR,59232.0
DMVW,2205116.0
DN,50005.0
DQE,1083170.0
DR,213809.0
DREI,345262.0
DRGR,867.0
DRIR,165549.0
DRRV,12667.0
DSC,7042.0
DSNG,2787062.0
DSRR,253487.0
DT,36122.0
DURR,85002.0
DUSR,39813.0
DUT,0.0
DVS,20070.0
EACH,188346.0
EARY,292689.0
EBG,22887.0
EBRR,68439.0
EBSR,479231.0
ECBR,67356.0
ECTB,1290.0
EDW,231683.0
EEC,263274.0
EERZ,241375.0
EFRR,56331.0
EIRC,124395.0
EIRR,1500159.0
EJR,237317.0
EJSR,15648.0
ELS,1458619.0
EMRY,631555.0
ERRT,499.0
ESFR,11764.0
ESPN,191110.0
ESWR,7985.0
ETRY,59748.0
EV,245991.0
EVWR,2139140.0
EWG,218758.0
EWR,40881.0
EZR,312.0
FCEN,539076.0
FCR,145277.0
FCRD,416763.0
FCRS,11252.0
FCRV,0.0
FEC,14532711.0
FGA,274111.0
FGC,95728.0
FGLK,1411205.0
FIR,37165.0
FLYJ,50974.0
FMID,112209.0
FMRC,569482.0
FMWX,22446.0
FN,144.0
FNOR,197535.0
FOXY,50473.0
FP,19897.0
FRR,193314.0
FRRV,68740.0
FRVT,156407.0
FSR,218723.0
FTRL,80148.0
FVRR,173.0
FWWR,2240731.0
GC,940157.0
GCRX,2044919.0
GCSR,21956.0
GCW,67902.0
GDLK,1115514.0
GET,116554.0
GFRR,973068.0
GICX,142760.0
GIMY,887457.0
GITM,181478.0
GLC,1016520.0
GLRX,246034.0
GLTX,63688.0
GMRC,455518.0
GNBC,799733.0
GNRR,330790.0
GOGR,10887.0
GOOS,78921.0
GR,42050.0
GRAV,11078.0
GRD,217029.0
GRGL,30205.0
GRLW,54608.0
GRNW,582822.0
GRR,251329.0
GRRM,122210.0
GRRW,10942.0
GRS,19192055.0
GRVV,245718.0
GRW,4046821.0
GRWR,86245.0
GRYR,400511.0
GS,211152.0
GSM,1890768.0
GSWR,502750.0
GSWY,191474.0
GTLS,48163.0
GTRA,211040.0
GU,96816.0
GVSR,156975.0
GWR,853539.0
GWRC,34009.0
GWWL,4498.0
HAL,116368.0
HB,33309.0
HCRR,0.0
HESR,1492704.0
HHRV,99630.0
HIES,250167.0
HIRW,1279.0
HKGX,69638.0
HLLR,1740.0
HMCR,88704.0
HNW,20.0
HOB,24225.0
HOG,307488.0
HOS,84747.0
HPTD,48236.0
HR,13595.0
HRR,184627.0
HRRC,695380.0
HRSX,80244.0
HRT,114251.0
HSR,23781.0
HTR,35289.0
HUTT,7142.0
HVMV,0.0
HVRX,308829.0
HVSR,63706.0
HWRV,30582.0
IAIS,5147070.0
IAMR,48801.0
IANR,2291389.0
IARR,38810.0
IATR,129318.0
IATX,315894.0
ICRK,13060.0
IERR,53900.0
IHB,14682979.0
IHTR,42194.0
ILW,0.0
IMR,8428.0
IMRR,1191791.0
IMSA,401571.0
IN,383346.0
INPR,412276.0
INRD,3489845.0
IORY,2266698.0
IPOK,40885.0
IPTX,29019.0
IPWI,29881.0
IR,1190534.0
IRM,160209.0
IRSS,36016.0
IRYM,0.0
ISRR,830209.0
ISRY,81566.0
ISW,38307.0
ITB,2116.0
ITHR,42917.0
ITKC,166413.0
ITMZ,24574.0
ITSL,1174987.0
JAIL,289674.0
JCAX,28268.0
JCIV,91044.0
JEC,0.0
JERX,0.0
JVRR,67306.0
JXP,45002.0
KAW,662343.0
KBSR,201660.0
KCT,397234.0
KEOK,0.0
KFR,469549.0
KGTR,38538.0
KJR,22930.0
KJRY,485025.0
KNOR,34985.0
KNWA,675946.0
KO,2620476.0
KRM,88988.0
KRR,1413151.0
KRRC,35639.0
KRS,121937.0
KSH,93.0
KSRY,586.0
KT,44708.0
KTR,19950.0
KWT,129159.0
KXCG,7261.0
KXHR,411420.0
KYLE,1300996.0
LACZ,0.0
LAL,752483.0
